resistive Lecture = 612	percent = 52	reference Lecture = 321	percent = 88
resistive Lecture = 624	percent = 51	reference Lecture = 319	percent = 89
resistive Lecture = 612	percent = 52	reference Lecture = 319	percent = 89
resistive Lecture = 559	percent = 59	reference Lecture = 283	percent = 102
resistive Lecture = 506	percent = 66	reference Lecture = 283	percent = 102
resistive Lecture = 517	percent = 64	reference Lecture = 285	percent = 101
resistive Lecture = 517	percent = 64	reference Lecture = 286	percent = 101
resistive Lecture = 513	percent = 65	reference Lecture = 286	percent = 101
resistive Lecture = 507	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 505	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 502	percent = 66	reference Lecture = 286	percent = 101
resistive Lecture = 498	percent = 67	reference Lecture = 287	percent = 100
resistive Lecture = 493	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 495	percent = 67	reference Lecture = 287	percent = 100
resistive Lecture = 493	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 489	percent = 68	reference Lecture = 285	percent = 101
resistive Lecture = 490	percent = 68	reference Lecture = 285	percent = 101
resistive Lecture = 492	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 490	percent = 68	reference Lecture = 284	percent = 101
resistive Lecture = 492	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 491	percent = 68	reference Lecture = 285	percent = 101
resistive Lecture = 490	percent = 68	reference Lecture = 285	percent = 101
resistive Lecture = 493	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 490	percent = 68	reference Lecture = 286	percent = 101
resistive Lecture = 495	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 492	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 496	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 496	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 496	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 497	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 498	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 494	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 499	percent = 67	reference Lecture = 286	percent = 101
resistive Lecture = 499	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 500	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 496	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 497	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 500	percent = 66	reference Lecture = 286	percent = 101
resistive Lecture = 500	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 501	percent = 66	reference Lecture = 286	percent = 101
resistive Lecture = 498	percent = 67	reference Lecture = 285	percent = 101
resistive Lecture = 503	percent = 66	reference Lecture = 286	percent = 101
resistive Lecture = 502	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 503	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 500	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 503	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 502	percent = 66	reference Lecture = 284	percent = 101
resistive Lecture = 504	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 504	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 505	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 502	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 505	percent = 66	reference Lecture = 285	percent = 101
resistive Lecture = 502	percent = 66	reference Lecture = 284	percent = 101
